symbol,tour,bet,pnl
BLIND_70,4,10.0,-10.0
BLIND_70,5,20.0,20.0
BLIND_70,6,10.0,10.0
BLIND_70,7,10.0,10.0
BLIND_70,8,10.0,10.0
BLIND_70,9,10.0,10.0
BLIND_70,10,10.0,-10.0
BLIND_71,1,10.0,-10.0
BLIND_71,2,20.0,20.0
BLIND_71,3,10.0,-10.0
BLIND_71,4,20.0,-20.0
BLIND_71,5,40.0,-40.0
BLIND_71,6,80.0,-80.0
BLIND_71,7,160.0,160.0
BLIND_71,8,10.0,10.0
BLIND_71,9,10.0,10.0
BLIND_71,10,10.0,10.0
BLIND_72,1,10.0,10.0
BLIND_72,2,10.0,-10.0
BLIND_72,3,20.0,-20.0
BLIND_72,4,40.0,-40.0
BLIND_72,5,80.0,-80.0
BLIND_72,6,160.0,160.0
BLIND_72,7,10.0,10.0
BLIND_72,8,10.0,10.0
BLIND_72,9,10.0,10.0
BLIND_72,10,10.0,-10.0
BLIND_73,1,10.0,-10.0
BLIND_73,2,20.0,-20.0
BLIND_73,3,40.0,-40.0
BLIND_73,4,80.0,-80.0
BLIND_73,5,160.0,-160.0
BLIND_73,6,320.0,-320.0
BLIND_73,7,640.0,640.0
BLIND_73,8,10.0,10.0
BLIND_73,9,10.0,-10.0
BLIND_73,10,20.0,-20.0
BLIND_74,1,10.0,10.0
BLIND_74,2,10.0,-10.0
BLIND_74,3,20.0,20.0
BLIND_74,4,10.0,-10.0
BLIND_74,5,20.0,-20.0
BLIND_74,6,40.0,40.0
BLIND_74,7,10.0,10.0
BLIND_74,8,10.0,10.0
BLIND_74,9,10.0,-10.0
BLIND_74,10,20.0,20.0
BLIND_75,1,10.0,-10.0
BLIND_75,2,20.0,20.0
BLIND_75,3,10.0,-10.0
BLIND_75,4,20.0,-20.0
BLIND_75,5,40.0,-40.0
BLIND_75,6,80.0,80.0
BLIND_75,7,10.0,-10.0
BLIND_75,8,20.0,20.0
BLIND_75,9,10.0,-10.0
BLIND_75,10,20.0,20.0
BLIND_76,1,10.0,10.0
BLIND_76,2,10.0,10.0
BLIND_76,3,10.0,10.0
BLIND_76,4,10.0,-10.0
BLIND_76,5,20.0,20.0
BLIND_76,6,10.0,-10.0
BLIND_76,7,20.0,20.0
BLIND_76,8,10.0,10.0
BLIND_76,9,10.0,10.0
BLIND_76,10,10.0,10.0
BLIND_77,1,10.0,-10.0
BLIND_77,2,20.0,-20.0
BLIND_77,3,40.0,-40.0
BLIND_77,4,80.0,-80.0
BLIND_77,5,160.0,-160.0
BLIND_77,6,320.0,-320.0
BLIND_77,7,640.0,-640.0
BLIND_77,8,1280.0,-1280.0
BLIND_77,9,2560.0,-2560.0
BLIND_77,10,5120.0,-5120.0
BLIND_78,1,10.0,10.0
BLIND_78,2,10.0,10.0
BLIND_78,3,10.0,-10.0
BLIND_78,4,20.0,-20.0
BLIND_78,5,40.0,-40.0
BLIND_78,6,80.0,-80.0
BLIND_78,7,160.0,-160.0
BLIND_78,8,320.0,320.0
BLIND_78,9,10.0,10.0
BLIND_78,10,10.0,10.0
BLIND_79,1,10.0,10.0
BLIND_79,2,10.0,-10.0
BLIND_79,3,20.0,-20.0
BLIND_79,4,40.0,-40.0
BLIND_79,5,80.0,80.0
BLIND_79,6,10.0,-10.0
BLIND_79,7,20.0,20.0
BLIND_79,8,10.0,10.0
BLIND_79,9,10.0,-10.0
BLIND_79,10,20.0,20.0
BLIND_80,1,10.0,-10.0
BLIND_80,2,20.0,20.0
BLIND_80,3,10.0,10.0
BLIND_80,4,10.0,-10.0
